wojewodztwo_teryt;wojewodztwo_nazwa;powiat_teryt;powiat_nazwa;gmina_teryt;gmina_nazwa;kategoria;liczba_ludnosci;w1_zaszczepieni_pacjenci;w3_zaszczepieni_pelna_dawka;%_zaszczepionych;%_zaszczepionych_pe�n�_dawk�
14;mazowieckie;1405;grodziski;1405021;Podkowa Leśna;Warszawski;3801;2720;2641;71,5601;69,4817
30;wielkopolskie;3024;szamotulski;3024083;gm.m-w. Wronki;Pilski;19081;13511;13141;70,8087;68,8696
32;zachodniopomorskie;3208;kołobrzeski;3208072;gm.w Ustronie Morskie;Koszaliński;3617;2528;2463;69,8922;68,0951
14;mazowieckie;1421;pruszkowski;1421062;gm.w Raszyn;Warszawski;21971;15384;14912;70,0196;67,8713
14;mazowieckie;1465;Warszawa;1465011;M. St. Warszawa;;1794166;1248236;1215255;69,5719;67,7337
30;wielkopolskie;3064;Poznań;3064011;Poznań;;532048;366462;356823;68,8776;67,0659
2;dolnośląskie;264;Wrocław;264011;Wrocław;;641928;430158;419407;67,0103;65,3355
14;mazowieckie;1421;pruszkowski;1421042;gm.w Michałowice;Warszawski;18361;12282;11970;66,8918;65,1925
14;mazowieckie;1418;piaseczyński;1418023;gm.m-w. Konstancin-Jeziorna;Warszawski;24621;16402;15876;66,6179;64,4815
12;małopolskie;1261;Kraków;1261011;Kraków;;779966;512672;500975;65,73;64,2304
14;mazowieckie;1418;piaseczyński;1418043;gm.m-w. Piaseczno;;86217;56767;55218;65,842;64,0454
14;mazowieckie;1418;piaseczyński;1418032;gm.w Lesznowola;Warszawski;29767;19581;19012;65,7809;63,8694
22;pomorskie;2261;Gdańsk;2261011;Gdańsk;;470805;307473;299312;65,3079;63,5745
30;wielkopolskie;3011;kościański;3011011;Kościan;Leszczyński;23716;15366;15077;64,7917;63,5731
30;wielkopolskie;3021;poznański;3021021;Puszczykowo;Poznański;9575;6244;6085;65,2115;63,5509
30;wielkopolskie;3021;poznański;3021152;gm.w Suchy Las;Poznański;18512;12001;11683;64,8282;63,1104
14;mazowieckie;1432;warszawski zachodni;1432053;gm.m-w. Łomianki;Warszawski;27705;17929;17455;64,714;63,0031
4;kujawsko-pomorskie;411;radziejowski;411011;Radziejów;Włocławski;5499;3583;3463;65,1573;62,9751
14;mazowieckie;1421;pruszkowski;1421011;Piastów;Warszawski;22559;14604;14174;64,7369;62,8308
30;wielkopolskie;3021;poznański;3021011;Luboń;;32015;20602;20000;64,3511;62,4707
22;pomorskie;2210;nowodworski;2210011;Krynica Morska;Elbląski;1290;818;801;63,4109;62,093
30;wielkopolskie;3024;szamotulski;3024011;Obrzycko;Poznański;2385;1524;1478;63,8994;61,9706
30;wielkopolskie;3021;poznański;3021172;gm.w Tarnowo Podgórne;Poznański;28908;18441;17883;63,792;61,8618
14;mazowieckie;1421;pruszkowski;1421021;Pruszków;;62623;40024;38724;63,9126;61,8367
