teryt,municipality,%_vaccinated
3004063,gm.m-w. Pogorzela,54.8604
807043,gm.m-w. Sulęcin,54.8391
1014011,Sieradz,54.8297
2807011,Iława,54.8244
3062011,Konin,54.8022
208051,Polanica-Zdrój,54.8009
1206032,gm.w Iwanowice,54.726
214011,Oleśnica,54.6986
3263011,Świnoujście,54.6986
3028011,Wągrowiec,54.696
2413031,Radzionków,54.6649
215011,Oława,54.5652
3027011,Turek,54.5592
2204042,gm.w Pruszcz Gdański,54.5582
2413062,gm.w Ożarowice,54.547
2416021,Zawiercie,54.5469
3213011,Darłowo,54.5381
3202012,gm.w Bierzwnik,54.5006
1206052,gm.w Kocmyrzów-Luborzyca,54.4881
2215021,Rumia,54.4836
611021,Stoczek Łukowski,54.4758
1212042,gm.w Klucze,54.4637
3019011,Piła,54.457
2413041,Tarnowskie Góry,54.4498
3022053,gm.m-w. Rawicz,54.4275
1428082,gm.w Teresin,54.4186
1008052,gm.w Ksawerów,54.4054
2464011,Częstochowa,54.3994
1008021,Pabianice,54.367
401062,gm.w Koneck,54.3667
3030053,gm.m-w. Września,54.3658
1406053,gm.m-w. Grójec,54.3273
1402011,Ciechanów,54.3194
2471011,Piekary Śląskie,54.3106
1213033,gm.m-w. Chełmek,54.304
2809011,Lidzbark Warmiński,54.2514
404011,Chełmno,54.2203
2472011,Ruda Śląska,54.202
3063011,Leszno,54.1811
2405011,Knurów,54.1811
2214011,Tczew,54.1679
1419122,gm.w Słupno,54.1518
1428011,Sochaczew,54.1389
219011,Świdnica,54.1354
2404042,gm.w Kamienica Polska,54.1349
1408052,gm.w Wieliszew,54.127
1417072,gm.w Sobienie-Jeziory,54.1221
2414021,Imielin,54.1051
220013,gm.m-w. Oborniki Śląskie,54.0987
3023042,gm.w Ostrowite,54.0958
3209053,gm.m-w. Mielno,54.0873
2402043,gm.m-w. Czechowice-Dziedzice,54.0778
3202023,gm.m-w. Choszczno,54.062
3006023,gm.m-w. Jarocin,54.049
2609011,Sandomierz,54.0462
810021,Żagań,54.0352
1208072,gm.w Słaboszów,53.9719
2602063,gm.m-w. Sędziszów,53.9508
2404162,gm.w Starcza,53.9432
2602093,gm.m-w. Wodzisław,53.9388
417011,Wąbrzeźno,53.9328
1213093,gm.m-w. Zator,53.927
2401081,Sławków,53.9005
3015043,gm.m-w. Nowy Tomyśl,53.8869
861011,Gorzów Wielkopolski,53.8466
261011,Jelenia Góra,53.8431
3261011,Koszalin,53.8391
2402072,gm.w Kozy,53.8232
1208053,gm.m-w. Miechów,53.8063
220042,gm.w Wisznia Mała,53.8027
1017093,gm.m-w. Wieluń,53.7881
1219053,gm.m-w. Wieliczka,53.7766
3025052,gm.w Zaniemyśl,53.7421
3030023,gm.m-w. Miłosław,53.7263
3019073,gm.m-w. Ujście,53.7251
1434021,Marki,53.7185
806043,gm.m-w. Strzelce Krajeńskie,53.6796
614011,Puławy,53.6612
3015053,gm.m-w. Opalenica,53.6406
803023,gm.m-w. Międzyrzecz,53.6399
1417082,gm.w Wiązowna,53.6234
1417032,gm.w Celestynów,53.6108
404032,gm.w Kijewo Królewskie,53.5943
1062011,Piotrków Trybunalski,53.5931
805043,gm.m-w. Rzepin,53.5855
2402062,gm.w Jaworze,53.5805
1206042,gm.w Jerzmanowice-Przeginia,53.5646
1420011,Płońsk,53.5623
802063,gm.m-w. Krosno Odrzańskie,53.5619
2403011,Cieszyn,53.5535
3022033,gm.m-w. Miejska Górka,53.5471
3206063,gm.m-w. Moryń,53.5108
3017011,Ostrów Wielkopolski,53.4894
1432032,gm.w Kampinos,53.4499
3008033,gm.m-w. Kępno,53.4482
411053,gm.m-w. Piotrków Kujawski,53.4378
3208042,gm.w Kołobrzeg,53.3747
3208022,gm.w Dygowo,53.3607
1004082,gm.w Witonia,53.3583
663011,Lublin,53.3492
1412073,gm.m-w. Halinów,53.3216
3008012,gm.w Baranów,53.3042
2812011,Nowe Miasto Lubawskie,53.301
1021052,gm.w Rogów,53.2861
203011,Głogów,53.2789
2470011,Mysłowice,53.2491
3206043,gm.m-w. Gryfino,53.2315
1213023,gm.m-w. Brzeszcze,53.2294
1005102,gm.w Zduny,53.2087
3214011,Stargard,53.197
3214053,gm.m-w. Ińsko,53.1646
413023,gm.m-w. Sępólno Krajeńskie,53.1502
462011,Grudziądz,53.1262
401092,gm.w Zakrzewo,53.1034
3029033,gm.m-w. Wolsztyn,53.095
1401013,gm.m-w. Białobrzegi,53.0871
1206022,gm.w Igołomia-Wawrzeńczyce,53.0668
2404072,gm.w Konopiska,53.0481
2803052,gm.w Płośnica,53.0325
2416042,gm.w Kroczyce,53.0213
1206063,gm.m-w. Krzeszowice,53.0059
220033,gm.m-w. Trzebnica,52.9785
1422011,Przasnysz,52.9757
808012,gm.w Lubrza,52.9706
1403021,Łaskarzew,52.9424
2417011,Żywiec,52.9366
2801021,Górowo Iławeckie,52.92
1414022,gm.w Czosnów,52.9134
415082,gm.w Wielka Nieszawka,52.8988
2861011,Elbląg,52.8824
1203013,gm.m-w. Alwernia,52.8823
3217011,Wałcz,52.8518
811021,Żary,52.85
1437063,gm.m-w. Żuromin,52.8367
808053,gm.m-w. Świebodzin,52.8237
210011,Lubań,52.8205
415092,gm.w Zławieś Wielka,52.8177
207011,Kamienna Góra,52.8168
2416063,gm.m-w. Ogrodzieniec,52.8055
3002083,gm.m-w. Wieleń,52.7684
616011,Dęblin,52.7664
3206023,gm.m-w. Cedynia,52.7591
1215011,Jordanów,52.7562
809092,gm.w Zabór,52.7557
809033,gm.m-w. Czerwieńsk,52.7537
2203023,gm.m-w. Czarne,52.7433
3003062,gm.w Łubowo,52.7348
2806011,Giżycko,52.7344
3014033,gm.m-w. Międzychód,52.7009
2416092,gm.w Włodowice,52.6811
2817011,Szczytno,52.6805
1414063,gm.m-w. Zakroczym,52.6729
2402102,gm.w Wilkowice,52.6678
215033,gm.m-w. Jelcz-Laskowice,52.6356
3003103,gm.m-w. Witkowo,52.6347
3214033,gm.m-w. Dobrzany,52.6249
3001023,gm.m-w. Budzyń,52.6136
405022,gm.w Ciechocin,52.6105
3005023,gm.m-w. Grodzisk Wielkopolski,52.6001
415042,gm.w Lubicz,52.597
2410012,gm.w Goczałkowice-Zdrój,52.5909
1212011,Bukowno,52.5862
415062,gm.w Łysomice,52.5809
